"","genes","dataType","growthPhase","test_for","exist_in"
"1393","hpt","protein","Exp","Lac","controlled for Growth"
"1394","hfq","protein","Exp","Lac","controlled for Growth"
"1395","ycgK","protein","Exp","Lac","controlled for Growth"
"1396","ygaG","protein","Exp","Lac","controlled for Growth"
"1397","phoP","protein","Exp","Lac","controlled for Growth"
"1398","engB","protein","Exp","Lac","controlled for Growth"
"1399","yfgL","protein","Exp","Lac","controlled for Growth"
"1400","pdxJ","protein","Exp","Lac","controlled for Growth"
"1401","selD","protein","Exp","Lac","controlled for Growth"
"1402","alr","protein","Exp","Lac","controlled for Growth"
"1403","rpmF","protein","Exp","Lac","controlled for Growth"
"1404","rrmJ","protein","Exp","Lac","controlled for Growth"
"1405","fabH","protein","Exp","Lac","controlled for Growth"
"1406","fabF","protein","Exp","Lac","controlled for Growth"
"1407","aroK","protein","Exp","Lac","controlled for Growth"
"1408","dksA","protein","Exp","Lac","controlled for Growth"
"1409","yciS","protein","Exp","Lac","controlled for Growth"
"1410","sppA","protein","Exp","Lac","controlled for Growth"
"1411","dapE","protein","Exp","Lac","controlled for Growth"
"1412","rfaD","protein","Exp","Lac","controlled for Growth"
"1413","secF","protein","Exp","Lac","controlled for Growth"
"1414","nrdB","protein","Exp","Lac","controlled for Growth"
"1415","argE","protein","Exp","Lac","controlled for Growth"
"1416","rbsC","protein","Exp","Lac","controlled for Growth"
"1417","rtcR","protein","Exp","Lac","controlled for Growth"
"1418","uvrA","protein","Exp","Lac","controlled for Growth"
"1419","stpA","protein","Exp","Lac","controlled for Growth"
"1420","yadG","protein","Exp","Lac","controlled for Growth"
"1421","menB","protein","Exp","Lac","controlled for Growth"
"1422","tpx","protein","Exp","Lac","controlled for Growth"
"1423","ptsN","protein","Exp","Lac","controlled for Growth"
"1424","mraW","protein","Exp","Lac","controlled for Growth"
"1425","coaA","protein","Exp","Lac","controlled for Growth"
"1426","cysG","protein","Exp","Lac","controlled for Growth"
"1427","yagR","protein","Exp","Lac","controlled for Growth"
"1428","bioD","protein","Exp","Lac","controlled for Growth"
"1429","pspA","protein","Exp","Lac","controlled for Growth"
"1430","tolC","protein","Exp","Lac","controlled for Growth"
"1431","ybeY","protein","Exp","Lac","controlled for Growth"
"1432","modF","protein","Exp","Lac","controlled for Growth"
"1433","ycfH","protein","Exp","Lac","controlled for Growth"
"1434","ybhA","protein","Exp","Lac","controlled for Growth"
"1435","rpoZ","protein","Exp","Lac","controlled for Growth"
"1436","yiiU","protein","Exp","Lac","controlled for Growth"
"1437","yebR","protein","Exp","Lac","controlled for Growth"
"1438","malQ","protein","Exp","Lac","controlled for Growth"
"1439","yhbW","protein","Exp","Lac","controlled for Growth"
"1440","pabB","protein","Exp","Lac","controlled for Growth"
"1441","metN","protein","Exp","Lac","controlled for Growth"
"1442","rlmL","protein","Exp","Lac","controlled for Growth"
"1443","fnr","protein","Exp","Lac","controlled for Growth"
"1444","cysK","protein","Exp","Lac","controlled for Growth"
"1445","yfgB","protein","Exp","Lac","controlled for Growth"
"1446","yecJ","protein","Exp","Lac","controlled for Growth"
"1447","rpmA","protein","Exp","Lac","controlled for Growth"
"1448","argB","protein","Exp","Lac","controlled for Growth"
"1449","nlpB","protein","Exp","Lac","controlled for Growth"
"1450","ftsE","protein","Exp","Lac","controlled for Growth"
"1451","ycdB","protein","Exp","Lac","controlled for Growth"
"1452","yciO","protein","Exp","Lac","controlled for Growth"
"1453","ybgK","protein","Exp","Lac","controlled for Growth"
"1454","rlpB","protein","Exp","Lac","controlled for Growth"
"1455","yagU","protein","Exp","Lac","controlled for Growth"
"1456","rplA","protein","Exp","Lac","controlled for Growth"
"1457","ybaK","protein","Exp","Lac","controlled for Growth"
"1458","aroE","protein","Exp","Lac","controlled for Growth"
"1459","gyrB","protein","Exp","Lac","controlled for Growth"
"1460","yfcB","protein","Exp","Lac","controlled for Growth"
"1461","cusR","protein","Exp","Lac","controlled for Growth"
"1462","gph","protein","Exp","Lac","controlled for Growth"
"1463","aroB","protein","Exp","Lac","controlled for Growth"
"1464","pflC","protein","Exp","Lac","controlled for Growth"
"1465","vacJ","protein","Exp","Lac","controlled for Growth"
"1466","ygjK","protein","Exp","Lac","controlled for Growth"
"1467","mogA","protein","Exp","Lac","controlled for Growth"
"1468","mreC","protein","Exp","Lac","controlled for Growth"
"1469","grpE","protein","Exp","Lac","controlled for Growth"
"1470","metC","protein","Exp","Lac","controlled for Growth"
"1471","dnaK","protein","Exp","Lac","controlled for Growth"
"1472","prfC","protein","Exp","Lac","controlled for Growth"
"1473","ydcP","protein","Exp","Lac","controlled for Growth"
"1474","yehI","protein","Exp","Lac","controlled for Growth"
"1475","yciW","protein","Exp","Lac","controlled for Growth"
"1476","rhsB","protein","Exp","Lac","controlled for Growth"
"1477","yebG","protein","Exp","Lac","controlled for Growth"
"1478","rnt","protein","Exp","Lac","controlled for Growth"
"1479","dcrB","protein","Exp","Lac","controlled for Growth"
"1480","kdsB","protein","Exp","Lac","controlled for Growth"
"1481","glyA","protein","Exp","Lac","controlled for Growth"
"1482","epd","protein","Exp","Lac","controlled for Growth"
"1483","mltD","protein","Exp","Lac","controlled for Growth"
"1484","baeR","protein","Exp","Lac","controlled for Growth"
"1485","yrbI","protein","Exp","Lac","controlled for Growth"
"1486","yhcB","protein","Exp","Lac","controlled for Growth"
"1487","arcA","protein","Exp","Lac","controlled for Growth"
"1488","purU","protein","Exp","Lac","controlled for Growth"
"1489","guaB","protein","Exp","Lac","controlled for Growth"
"1490","dcp","protein","Exp","Lac","controlled for Growth"
"1491","def","protein","Exp","Lac","controlled for Growth"
"1492","insG","protein","Exp","Lac","controlled for Growth"
"1493","yhdE","protein","Exp","Lac","controlled for Growth"
"1494","iciA","protein","Exp","Lac","controlled for Growth"
"1495","alsA","protein","Exp","Lac","controlled for Growth"
"1496","ybfF","protein","Exp","Lac","controlled for Growth"
"1497","ybhE","protein","Exp","Lac","controlled for Growth"
"1498","rtcA","protein","Exp","Lac","controlled for Growth"
"1499","yhgI","protein","Exp","Lac","controlled for Growth"
"1500","treF","protein","Exp","Lac","controlled for Growth"
"1501","dmsA","protein","Exp","Lac","controlled for Growth"
"1502","tldD","protein","Exp","Lac","controlled for Growth"
"1503","mhpA","protein","Exp","Lac","controlled for Growth"
"1504","dut","protein","Exp","Lac","controlled for Growth"
"1505","dnaB","protein","Exp","Lac","controlled for Growth"
"1506","ydbD","protein","Exp","Lac","controlled for Growth"
"1507","ydgJ","protein","Exp","Lac","controlled for Growth"
"1508","sdaC","protein","Exp","Lac","controlled for Growth"
"1509","recE","protein","Exp","Lac","controlled for Growth"
"1510","carB","protein","Exp","Lac","controlled for Growth"
"1511","ftsN","protein","Exp","Lac","controlled for Growth"
"1512","mfd","protein","Exp","Lac","controlled for Growth"
"1513","proX","protein","Exp","Lac","controlled for Growth"
"1514","truD","protein","Exp","Lac","controlled for Growth"
"1515","yjjG","protein","Exp","Lac","controlled for Growth"
"1516","yoaF","protein","Exp","Lac","controlled for Growth"
"1517","hemE","protein","Exp","Lac","controlled for Growth"
"1518","sodA","protein","Exp","Lac","controlled for Growth"
"1519","gsk","protein","Exp","Lac","controlled for Growth"
"1520","cmk","protein","Exp","Lac","controlled for Growth"
"1521","yeaD","protein","Exp","Lac","controlled for Growth"
"1522","yhiR","protein","Exp","Lac","controlled for Growth"
"1523","hycE","protein","Exp","Lac","controlled for Growth"
"1524","sohB","protein","Exp","Lac","controlled for Growth"
"1525","pcnB","protein","Exp","Lac","controlled for Growth"
"1526","tsf","protein","Exp","Lac","controlled for Growth"
"1527","acpP","protein","Exp","Lac","controlled for Growth"
"1528","murG","protein","Exp","Lac","controlled for Growth"
"1529","mdoH","protein","Exp","Lac","controlled for Growth"
"1530","hemC","protein","Exp","Lac","controlled for Growth"
"1531","ribC","protein","Exp","Lac","controlled for Growth"
"1532","hisP","protein","Exp","Lac","controlled for Growth"
"1533","yciR","protein","Exp","Lac","controlled for Growth"
"1534","ynfE","protein","Exp","Lac","controlled for Growth"
"1535","nadE","protein","Exp","Lac","controlled for Growth"
"1536","dacC","protein","Exp","Lac","controlled for Growth"
"1537","mqo","protein","Exp","Lac","controlled for Growth"
"1538","rnc","protein","Exp","Lac","controlled for Growth"
"1539","lacZ","protein","Exp","Lac","controlled for Growth"
"1540","yhjG","protein","Exp","Lac","controlled for Growth"
"1541","ygdK","protein","Exp","Lac","controlled for Growth"
"1542","rtn","protein","Exp","Lac","controlled for Growth"
"1543","rrmB","protein","Exp","Lac","controlled for Growth"
"1544","yeiT","protein","Exp","Lac","controlled for Growth"
"1545","yaeL","protein","Exp","Lac","controlled for Growth"
"1546","yphG","protein","Exp","Lac","controlled for Growth"
"1547","tas","protein","Exp","Lac","controlled for Growth"
"1548","lpxD","protein","Exp","Lac","controlled for Growth"
"1549","yoaA","protein","Exp","Lac","controlled for Growth"
"1550","polA","protein","Exp","Lac","controlled for Growth"
"1551","yrbC","protein","Exp","Lac","controlled for Growth"
"1552","hisA","protein","Exp","Lac","controlled for Growth"
"1553","yheL","protein","Exp","Lac","controlled for Growth"
"1554","ydiD","protein","Exp","Lac","controlled for Growth"
"1555","ybdL","protein","Exp","Lac","controlled for Growth"
"1556","mltA","protein","Exp","Lac","controlled for Growth"
"1557","asmA","protein","Exp","Lac","controlled for Growth"
"1558","metL","protein","Exp","Lac","controlled for Growth"
"1559","yrbA","protein","Exp","Lac","controlled for Growth"
"1560","hisH","protein","Exp","Lac","controlled for Growth"
"1561","fdx","protein","Exp","Lac","controlled for Growth"
"1562","ydaA","protein","Exp","Lac","controlled for Growth"
"1563","infC","protein","Exp","Lac","controlled for Growth"
"1564","yqjH","protein","Exp","Lac","controlled for Growth"
"1565","cysA","protein","Exp","Lac","controlled for Growth"
"1566","celF","protein","Exp","Lac","controlled for Growth"
"1567","yceD","protein","Exp","Lac","controlled for Growth"
"1568","yggX","protein","Exp","Lac","controlled for Growth"
"1569","yajQ","protein","Exp","Lac","controlled for Growth"
"1570","leuD","protein","Exp","Lac","controlled for Growth"
"1571","murI","protein","Exp","Lac","controlled for Growth"
"1572","ubiG","protein","Exp","Lac","controlled for Growth"
"1573","yhjE","protein","Exp","Lac","controlled for Growth"
"1574","yebY","protein","Exp","Lac","controlled for Growth"
"1575","nagD","protein","Exp","Lac","controlled for Growth"
"1576","cyoB","protein","Exp","Lac","controlled for Growth"
"1577","yceI","protein","Exp","Lac","controlled for Growth"
"1578","yfcF","protein","Exp","Lac","controlled for Growth"
"1579","clpP","protein","Exp","Lac","controlled for Growth"
"1580","yrdC","protein","Exp","Lac","controlled for Growth"
"1581","mgtA","protein","Exp","Lac","controlled for Growth"
"1582","yegO","protein","Exp","Lac","controlled for Growth"
"1583","bglA","protein","Exp","Lac","controlled for Growth"
"1584","yraJ","protein","Exp","Lac","controlled for Growth"
"1585","ycbZ","protein","Exp","Lac","controlled for Growth"
"1586","nemA","protein","Exp","Lac","controlled for Growth"
"1587","plsC","protein","Exp","Lac","controlled for Growth"
"1588","ydhD","protein","Exp","Lac","controlled for Growth"
"1589","rhsA","protein","Exp","Lac","controlled for Growth"
"1590","yeaG","protein","Exp","Lac","controlled for Growth"
"1591","emrR","protein","Exp","Lac","controlled for Growth"
"1592","btuE","protein","Exp","Lac","controlled for Growth"
"1593","acrD","protein","Exp","Lac","controlled for Growth"
"1594","uhpA","protein","Exp","Lac","controlled for Growth"
"1595","nudE","protein","Exp","Lac","controlled for Growth"
"1596","ispA","protein","Exp","Lac","controlled for Growth"
"1597","gshA","protein","Exp","Lac","controlled for Growth"
"1598","orn","protein","Exp","Lac","controlled for Growth"
"1599","ycjR","protein","Exp","Lac","controlled for Growth"
"1600","pepN","protein","Exp","Lac","controlled for Growth"
"1601","metK","protein","Exp","Lac","controlled for Growth"
"1602","yaaA","protein","Exp","Lac","controlled for Growth"
"1603","yigL","protein","Exp","Lac","controlled for Growth"
"1604","thiC","protein","Exp","Lac","controlled for Growth"
"1605","ribA","protein","Exp","Lac","controlled for Growth"
"1606","hyfG","protein","Exp","Lac","controlled for Growth"
"1607","topB","protein","Exp","Lac","controlled for Growth"
"1608","nrdR","protein","Exp","Lac","controlled for Growth"
"1609","guaC","protein","Exp","Lac","controlled for Growth"
"1610","ebgA","protein","Exp","Lac","controlled for Growth"
"1611","yfgD","protein","Exp","Lac","controlled for Growth"
"1612","ydjA","protein","Exp","Lac","controlled for Growth"
"1613","yegI","protein","Exp","Lac","controlled for Growth"
"1614","ycaR","protein","Exp","Lac","controlled for Growth"
"1615","xni","protein","Exp","Lac","controlled for Growth"
"1616","ymbA","protein","Exp","Lac","controlled for Growth"
"1617","treC","protein","Exp","Lac","controlled for Growth"
"1618","ugd","protein","Exp","Lac","controlled for Growth"
"1619","yegH","protein","Exp","Lac","controlled for Growth"
"1620","yeeD","protein","Exp","Lac","controlled for Growth"
"1621","yebC","protein","Exp","Lac","controlled for Growth"
"1622","ruvB","protein","Exp","Lac","controlled for Growth"
"1623","ybjL","protein","Exp","Lac","controlled for Growth"
"1624","torC","protein","Exp","Lac","controlled for Growth"
"1625","bisC","protein","Exp","Lac","controlled for Growth"
"1626","ynbC","protein","Exp","Lac","controlled for Growth"
"1627","hscB","protein","Exp","Lac","controlled for Growth"
"1628","yjjA","protein","Exp","Lac","controlled for Growth"
"1629","ddl","protein","Exp","Lac","controlled for Growth"
"1630","yccC","protein","Exp","Lac","controlled for Growth"
"1631","yhdJ","protein","Exp","Lac","controlled for Growth"
"1632","rpsF","protein","Exp","Lac","controlled for Growth"
"1633","dsbA","protein","Exp","Lac","controlled for Growth"
"1634","ftsY","protein","Exp","Lac","controlled for Growth"
"1635","yehP","protein","Exp","Lac","controlled for Growth"
"1636","yrbH","protein","Exp","Lac","controlled for Growth"
"1637","chiA","protein","Exp","Lac","controlled for Growth"
"1638","speB","protein","Exp","Lac","controlled for Growth"
"1639","yecM","protein","Exp","Lac","controlled for Growth"
"1640","nuoL","protein","Exp","Lac","controlled for Growth"
"1641","pssA","protein","Exp","Lac","controlled for Growth"
"1642","pfkB","protein","Exp","Lac","controlled for Growth"
"1643","recN","protein","Exp","Lac","controlled for Growth"
"1644","ascB","protein","Exp","Lac","controlled for Growth"
"1645","ptsG","protein","Exp","Lac","controlled for Growth"
